student_id,subject_id,teacher_id,exam_1,exam_2,exam_3,attendance,final_score,date
STU_5d85338c,SUB_CHE_309,TCH_436d6439,66.76,77.19,61.69,8,68.55,2025-04-06
STU_5d85338c,SUB_BIO_926,TCH_e9a5aaeb,96.15,69.7,50.38,10,72.08,2025-06-04
STU_5d85338c,SUB_COM_354,TCH_fd00b293,92.68,50.03,71.55,9,71.42,2025-03-03
STU_5d85338c,SUB_ART_472,TCH_11de1b83,60.24,56.67,61.25,8,59.39,2025-11-08
STU_f0c65748,SUB_ENG_658,TCH_8c340522,52.46,76.52,94.63,8,74.54,2025-03-14
STU_f0c65748,SUB_PHY_616,TCH_e9a5aaeb,62.2,51.9,91.72,7,68.61,2025-10-29
STU_f0c65748,SUB_MAT_850,TCH_665e9d27,53.1,76.61,99.11,7,76.27,2025-09-15
STU_f0c65748,SUB_HIS_394,TCH_f87ca65f,60.27,69.59,64.28,7,64.71,2025-06-24
STU_29f1f370,SUB_BIO_926,TCH_665e9d27,72.77,79.32,60.53,8,70.87,2025-08-11
STU_29f1f370,SUB_MAT_850,TCH_dd51d6cb,65.03,91.08,89.61,5,81.91,2025-01-01
STU_29f1f370,SUB_PHY_616,TCH_8c340522,76.87,66.34,85.97,7,76.39,2025-03-21
STU_c863591a,SUB_ART_472,TCH_8c340522,91.71,51.85,76.76,9,73.44,2025-01-19
STU_c863591a,SUB_BIO_926,TCH_665e9d27,84.82,92.28,51.46,7,76.19,2025-02-26
STU_c863591a,SUB_HIS_394,TCH_dd1d195f,97.78,56.4,66.59,7,73.59,2025-03-07
STU_c863591a,SUB_PHY_616,TCH_fd00b293,99.92,76.98,93.56,7,90.15,2025-11-21
STU_c863591a,SUB_MAT_850,TCH_f87ca65f,62.44,55.57,70.39,7,62.8,2025-05-22
STU_b38a9f59,SUB_CHE_309,TCH_f87ca65f,54.31,77.18,73.03,6,68.17,2025-02-01
STU_b38a9f59,SUB_MAT_850,TCH_eae970fc,73.43,70.86,76.02,7,73.44,2025-05-04
STU_b38a9f59,SUB_ENG_658,TCH_dd51d6cb,59.07,95.17,74.51,7,76.25,2025-08-27
STU_b38a9f59,SUB_PHY_616,TCH_8c340522,79.7,81.88,81.93,9,81.17,2025-08-17
STU_b38a9f59,SUB_ART_472,TCH_f87ca65f,58.5,77.33,65.35,8,67.06,2025-05-08
STU_627205e9,SUB_MAT_850,TCH_436d6439,68.39,53.52,87.17,8,69.69,2025-03-31
STU_627205e9,SUB_ENG_658,TCH_665e9d27,85.49,62.22,88.9,6,78.87,2025-07-20
STU_627205e9,SUB_HIS_394,TCH_dd1d195f,59.52,96.33,84.69,7,80.18,2025-10-03
STU_627205e9,SUB_BIO_926,TCH_f87ca65f,64.7,99.5,54.84,8,73.01,2025-10-18
STU_aec9648d,SUB_COM_354,TCH_11de1b83,59.84,80.76,97.45,8,79.35,2025-02-05
STU_aec9648d,SUB_ENG_658,TCH_dd1d195f,83.4,52.72,86.92,7,74.35,2025-01-31
STU_aec9648d,SUB_ART_472,TCH_8c340522,58.58,58.39,68.1,7,61.69,2025-08-29
STU_aec9648d,SUB_CHE_309,TCH_fd00b293,60.21,51.76,58.8,8,56.92,2025-10-21
STU_4d5d7e3c,SUB_CHE_309,TCH_436d6439,80.64,82.9,54.7,7,72.75,2025-07-19
STU_4d5d7e3c,SUB_ENG_658,TCH_8c340522,68.32,91.62,89.52,9,83.15,2025-01-11
STU_4d5d7e3c,SUB_HIS_394,TCH_8c340522,90.86,91.86,85.97,7,89.56,2025-02-16
STU_4d5d7e3c,SUB_PHY_616,TCH_8c340522,52.79,73.05,67.06,8,64.3,2025-01-17
STU_4d5d7e3c,SUB_ART_472,TCH_eae970fc,96.94,76.41,98.15,8,90.5,2025-06-08
STU_ffb882fa,SUB_MAT_850,TCH_665e9d27,69.41,75.15,87.35,9,77.3,2025-10-27
STU_ffb882fa,SUB_BIO_926,TCH_fd00b293,57.85,87.05,64.84,10,69.91,2025-01-16
STU_ffb882fa,SUB_ENG_658,TCH_fd00b293,72.81,77.01,59.35,8,69.72,2025-09-11
STU_ffb882fa,SUB_ART_472,TCH_11de1b83,91.32,88.33,60.74,8,80.13,2025-08-01
STU_72101883,SUB_ENG_658,TCH_436d6439,96.53,80.31,59.23,8,78.69,2025-02-21
STU_72101883,SUB_MAT_850,TCH_f87ca65f,84.54,71.33,56.66,9,70.84,2025-02-20
STU_72101883,SUB_BIO_926,TCH_eae970fc,92.04,55.78,94.27,9,80.7,2025-10-10
STU_72101883,SUB_COM_354,TCH_eae970fc,70.55,81.53,71.96,7,74.68,2025-08-28
STU_72101883,SUB_ART_472,TCH_dd1d195f,72.75,68.78,84.42,7,75.32,2025-05-17
STU_562bd7dd,SUB_ENG_658,TCH_dd1d195f,81.28,50.77,77.36,8,69.8,2025-03-28
STU_562bd7dd,SUB_BIO_926,TCH_f87ca65f,98.37,55.08,67.74,7,73.73,2025-06-03
STU_562bd7dd,SUB_PHY_616,TCH_fd00b293,63.18,58.91,55.02,8,59.04,2025-07-15
STU_562bd7dd,SUB_HIS_394,TCH_f87ca65f,61.81,61.95,53.85,9,59.2,2025-09-25
STU_041d3494,SUB_HIS_394,TCH_e9a5aaeb,97.43,92.79,90.51,8,93.58,2025-08-16
STU_041d3494,SUB_PHY_616,TCH_8c340522,57.56,58.96,77.95,8,64.82,2025-03-18
STU_041d3494,SUB_CHE_309,TCH_dd51d6cb,78.1,62.35,75.01,9,71.82,2025-07-27
STU_54e987f3,SUB_BIO_926,TCH_665e9d27,59.46,66.24,80.81,8,68.84,2025-09-28
STU_54e987f3,SUB_PHY_616,TCH_8c340522,51.54,60.3,78.68,9,63.51,2025-02-21
STU_54e987f3,SUB_HIS_394,TCH_e9a5aaeb,69.32,73.04,82.22,8,74.86,2025-10-03
STU_54e987f3,SUB_CHE_309,TCH_11de1b83,66.38,81.98,87.84,8,78.73,2025-11-13
STU_a25bf041,SUB_MAT_850,TCH_8c340522,67.88,88.75,73.51,7,76.71,2025-10-16
STU_a25bf041,SUB_ENG_658,TCH_eae970fc,57.93,92.9,58.01,9,69.61,2025-11-01
